Hall B RICH Hardware Interlock System EPICS Interface - S1 EP,,,,,,,
PV #,Group #,Signal Category,LabVIEW_Signal_Name,Access Type,Data Type,EPICS Process Variable (PV),Units
132,33,,RICH EPICS S1 EP Humidity 1 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID1_LATCHED_LO_ERR,N/A
133,34,,RICH EPICS S1 EP Humidity 2 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID2_LATCHED_LO_ERR,N/A
134,35,,RICH EPICS S1 EP Humidity 3 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID3_LATCHED_LO_ERR,N/A
135,36,,RICH EPICS S1 EP Humidity 4 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID4_LATCHED_LO_ERR,N/A
136,37,,RICH EPICS S1 EP Humidity 5 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID5_LATCHED_LO_ERR,N/A
137,38,,RICH EPICS S1 EP Humidity 6 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID6_LATCHED_LO_ERR,N/A
138,39,,RICH EPICS S1 EP Humidity 7 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID7_LATCHED_LO_ERR,N/A
139,40,,RICH EPICS S1 EP Humidity 8 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID8_LATCHED_LO_ERR,N/A
140,41,,RICH EPICS S1 EP Humidity 9 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID9_LATCHED_LO_ERR,N/A
141,42,,RICH EPICS S1 EP Humidity 10 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID10_LATCHED_LO_ERR,N/A
142,43,,RICH EPICS S1 EP Humidity 11 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID11_LATCHED_LO_ERR,N/A
143,44,,RICH EPICS S1 EP Humidity 12 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID12_LATCHED_LO_ERR,N/A
144,45,,RICH EPICS S1 EP Humidity 13 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID13_LATCHED_LO_ERR,N/A
145,46,,RICH EPICS S1 EP Humidity 14 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID14_LATCHED_LO_ERR,N/A
146,47,,RICH EPICS S1 EP Humidity 15 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID15_LATCHED_LO_ERR,N/A
147,48,,RICH EPICS S1 EP Humidity 16 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID16_LATCHED_LO_ERR,N/A
148,49,,RICH EPICS S1 EP Temp 1 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP1_LATCHED_LO_ERR,N/A
149,50,,RICH EPICS S1 EP Temp 2 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP2_LATCHED_LO_ERR,N/A
150,51,,RICH EPICS S1 EP Temp 3 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP3_LATCHED_LO_ERR,N/A
151,52,,RICH EPICS S1 EP Temp 4 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP4_LATCHED_LO_ERR,N/A
152,53,,RICH EPICS S1 EP Temp 5 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP5_LATCHED_LO_ERR,N/A
153,54,,RICH EPICS S1 EP Temp 6 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP6_LATCHED_LO_ERR,N/A
154,55,,RICH EPICS S1 EP Temp 7 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP7_LATCHED_LO_ERR,N/A
155,56,,RICH EPICS S1 EP Temp 8 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP8_LATCHED_LO_ERR,N/A
156,57,,RICH EPICS S1 EP Temp 9 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP9_LATCHED_LO_ERR,N/A
157,58,,RICH EPICS S1 EP Temp 10 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP10_LATCHED_LO_ERR,N/A
158,59,,RICH EPICS S1 EP Temp 11 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP11_LATCHED_LO_ERR,N/A
159,60,,RICH EPICS S1 EP Temp 12 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP12_LATCHED_LO_ERR,N/A
160,61,,RICH EPICS S1 EP Temp 13 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP13_LATCHED_LO_ERR,N/A
161,62,,RICH EPICS S1 EP Temp 14 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP14_LATCHED_LO_ERR,N/A
162,63,,RICH EPICS S1 EP Temp 15 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP15_LATCHED_LO_ERR,N/A
163,64,,RICH EPICS S1 EP Temp 16 Lo Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP16_LATCHED_LO_ERR,N/A
164,1,Reset of All Latched Errors,RICH EPICS S1 EP Reset Latched Errors,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_RESET_LATCHED_ERR,N/A
165,1,Sum of Humidity Latched Errors,RICH EPICS S1 EP Humidity Latched Errors,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID_LATCHED_ERR,N/A
166,1,Sum of Temperature Latched Errors,RICH EPICS S1 EP Temp Latched Errors,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP_LATCHED_ERR,N/A
167,1,Individual Sensor Interlock Enables,RICH EPICS S1 EP Humidity 1 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID1_ENABLE,N/A
168,2,,RICH EPICS S1 EP Humidity 2 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID2_ENABLE,N/A
169,3,,RICH EPICS S1 EP Humidity 3 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID3_ENABLE,N/A
170,4,,RICH EPICS S1 EP Humidity 4 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID4_ENABLE,N/A
171,5,,RICH EPICS S1 EP Humidity 5 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID5_ENABLE,N/A
172,6,,RICH EPICS S1 EP Humidity 6 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID6_ENABLE,N/A
173,7,,RICH EPICS S1 EP Humidity 7 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID7_ENABLE,N/A
174,8,,RICH EPICS S1 EP Humidity 8 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID8_ENABLE,N/A
